Orientation,WWR,Angle,Shading Type,sDA,BlindClosed,Heating Penalty,Cooling Benefit,Total Energy
E,55,0,No Shade,0.45414,0.419452,-0.3216145833333333,0.4742657696759254,0.1484366756937357
E,55,5,Vertical,0.44166,0.419452,-0.30026041666666664,0.43295777874228386,0.12903375186110033
E,55,10,Vertical,0.43332,0.415616,-0.27890624999999997,0.3916497878086423,0.10963082802846495
E,55,15,Vertical,0.44166,0.410685,-0.2575520833333333,0.3503417968750008,0.09022790419582959
E,55,20,Vertical,0.45414,0.39726,-0.24201388888888886,0.3227177372685191,0.07847571483839261
E,55,25,Vertical,0.44166,0.39726,-0.22647569444444446,0.2950936776620374,0.06672352548095561
E,55,30,Vertical,0.45,0.39726,-0.21093750000000003,0.26746961805555575,0.05497133612351863
E,55,35,Vertical,0.45414,0.389041,-0.1975694444444445,0.24436668113425933,0.04550522280448775
E,55,40,Vertical,0.45414,0.374521,-0.18420138888888898,0.22126374421296288,0.03603910948545687
E,55,45,Vertical,0.47916,0.361918,-0.17083333333333345,0.19816080729166646,0.026572996166425996
E,60,5,Eggcrate,0.54582,0.37863,-0.22760416666666672,0.4205096209490741,0.18757957303133696
E,60,10,Eggcrate,0.575,0.349041,-0.18151041666666676,0.2971733940972222,0.11246966552949034
E,60,15,Eggcrate,0.63338,0.313425,-0.1354166666666668,0.1738371672453703,0.03735975802764371
E,60,20,Eggcrate,0.62916,0.28,-0.10043402777777785,0.09250217013888884,-0.007712868849576358
E,60,25,Eggcrate,0.675,0.240274,-0.0654513888888889,0.011167173032407385,-0.05278549572679642
E,60,30,Eggcrate,0.66248,0.209863,-0.030468749999999968,-0.07016782407407406,-0.0978581226040165
E,60,35,Eggcrate,0.65416,0.17863,-0.0013020833333333842,-0.12704354745370383,-0.12480216649667669
E,60,40,Eggcrate,0.65,0.141918,0.0278645833333332,-0.1839192708333336,-0.1517462103893369
E,60,45,Eggcrate,0.6167,0.113973,0.05703124999999979,-0.24079499421296333,-0.1786902542819971
E,60,5,Horizontal,0.55002,0.37863,-0.2481770833333334,0.4561209972993831,0.2022028394236748
E,60,10,Horizontal,0.61668,0.349041,-0.2226562500000001,0.36839614679784016,0.14171619831416604
E,60,15,Horizontal,0.69168,0.313425,-0.19713541666666679,0.28067129629629717,0.08122955720465729
E,60,20,Horizontal,0.70416,0.290411,-0.1721354166666667,0.21089530285493902,0.037689773619855524
E,60,25,Horizontal,0.76668,0.246301,-0.1471354166666666,0.14111930941358083,-0.005850009964946237
E,60,30,Horizontal,0.76248,0.217534,-0.12213541666666651,0.07134331597222268,-0.049389793549747985
E,60,35,Horizontal,0.79168,0.184932,-0.09687499999999988,0.015763647762346004,-0.07887196801838206
E,60,40,Horizontal,0.82084,0.150137,-0.07161458333333326,-0.03981602044753067,-0.10835414248701614
E,60,45,Horizontal,0.82916,0.113973,-0.04635416666666662,-0.09539568865740737,-0.1378363169556502
E,60,0,No Shade,0.47082,0.419452,-0.2736979166666667,0.543845847800926,0.2626894805331836
E,60,5,Vertical,0.45414,0.419452,-0.2501736111111112,0.4958616657021608,0.23890491096026958
