h3_9,host_seed_tile_id,host_seed_index,host_tile_path_id,center_lat,center_lon
89194e68ad3ffff,88194e68adfffff,344,344,51.546625572878014,0.028069623588575683
89194e68ad7ffff,88194e68adfffff,344,344,51.544109751607564,0.03101958126261693
89194e68adbffff,88194e68adfffff,344,344,51.54641909410584,0.02345532777255786
89194ad25c3ffff,88194ad25dfffff,345,345,51.50723180425416,0.035402443597694684
89194ad25c7ffff,88194ad25dfffff,345,345,51.504715500755864,0.03834985580981958
89194ad25cbffff,88194ad25dfffff,345,345,51.50702476225565,0.03079159752402684
89194ad25cfffff,88194ad25dfffff,345,345,51.50450852217664,0.03373931973283434
89194ad25d3ffff,88194ad25dfffff,345,345,51.509954957895864,0.037065702196084634
89194ad25d7ffff,88194ad25dfffff,345,345,51.50743865686701,0.04001313929141173
89194ad25dbffff,88194ad25dfffff,345,345,51.50974804186341,0.03245469646990524
89194ad2563ffff,88194ad257fffff,346,346,51.49382159212915,0.031698068976896365
89194ad2567ffff,88194ad257fffff,346,346,51.491305212995094,0.03464504677676649
89194ad256bffff,88194ad257fffff,346,346,51.49361410971787,0.027088171337090117
89194ad256fffff,88194ad257fffff,346,346,51.491097793979066,0.030035458974204756
89194ad2573ffff,88194ad257fffff,346,346,51.49654526189229,0.033360813648259255
89194ad2577ffff,88194ad257fffff,346,346,51.494028885191845,0.03630781634853318
89194ad257bffff,88194ad257fffff,346,346,51.4963379054341,0.028750756403589123
89194ad0523ffff,88194ad053fffff,347,347,51.452112523888005,-0.011657862280564606
89194ad0527ffff,88194ad053fffff,347,347,51.44959636280484,-0.008710022170052553
89194ad052bffff,88194ad053fffff,347,347,51.45190239520847,-0.016265964788336317
89194ad052fffff,88194ad053fffff,347,347,51.449386297607056,-0.013317815455153276
89194ad0533ffff,88194ad053fffff,347,347,51.45483862195189,-0.00999777465262131
89194ad0537ffff,88194ad053fffff,347,347,51.452322463196616,-0.007049909340195048
89194ad053bffff,88194ad053fffff,347,347,51.45462861916122,-0.014606036851381739
89195da5d83ffff,88195da5d9fffff,348,348,51.5490631103405,-0.2084145923137479
89195da5d87ffff,88195da5d9fffff,348,348,51.54655070327537,-0.2054480766232108
89195da5d8bffff,88195da5d9fffff,348,348,51.548847185912464,-0.2130375979182574
89195da5d8fffff,88195da5d9fffff,348,348,51.54633484363483,-0.21007077270872848
89195da5d93ffff,88195da5d9fffff,348,348,51.551791248602505,-0.20675827709988678
89195da5d97ffff,88195da5d9fffff,348,348,51.54927884416774,-0.2037917345813879
89195da5d9bffff,88195da5d9fffff,348,348,51.55157544998741,-0.211381444387303
89194e68a23ffff,88194e68a3fffff,349,349,51.52839476546112,0.034875464213917684
89194e68a27ffff,88194e68a3fffff,349,349,51.52587867224979,0.03782400598551707
89194e68a2bffff,88194e68a3fffff,349,349,51.52818816292575,0.03026288922305079
89194e68a2fffff,88194e68a3fffff,349,349,51.525672133204054,0.03321174121927972
89194e68a33ffff,88194e68a3fffff,349,349,51.531117269209176,0.03653932204178046
89194e68a37ffff,88194e68a3fffff,349,349,51.528601178524916,0.03948788871915665
89194e68a3bffff,88194e68a3fffff,349,349,51.53091079265549,0.03192658727606483
89194e69da3ffff,88194e69dbfffff,350,350,51.551657016907114,0.02216870197449386
89194e69da7ffff,88194e69dbfffff,350,350,51.549141327987996,0.025119330506395768
89194e69dabffff,88194e69dbfffff,350,350,51.5514504109011,0.017553785314849843
89194e69dafffff,88194e69dbfffff,350,350,51.548934785610385,0.020504724276698565
89194e69db3ffff,88194e69dbfffff,350,350,51.554379119621174,0.023832814609982256
89194e69db7ffff,88194e69dbfffff,350,350,51.55186343329456,0.026783468167306708
89194e69dbbffff,88194e69dbfffff,350,350,51.55417263960503,0.019217737951324743
89194ad2163ffff,88194ad217fffff,351,351,51.474752309536036,0.020062626240408325
89194ad2167ffff,88194ad217fffff,351,351,51.472235913566045,0.023009429440884216
89194ad216bffff,88194ad217fffff,351,351,51.47454394554579,0.01545384575132649
89194ad216fffff,88194ad217fffff,351,351,51.472027612969164,0.01840095853866759
89194ad2173ffff,88194ad217fffff,351,351,51.477476877788945,0.021724428515957753
