tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current
88195da4d3fffff,30,30,8,0,51.5210508,-0.126653824,531.415,"POLYGON ((-0.1254293484729426 51.52552459402137, -0.1321395879191482 51.524331421397896, -0.1333635832229108 51.51985737960141, -0.1278781214559564 51.51657677751168, -0.1211689494714793 51.51776999100632, -0.1199441719038596 51.52224376570438, -0.1254293484729426 51.52552459402137))",0,False,False,False
88194ad315fffff,31,31,8,0,51.49718087,-0.069389888,531.415,"POLYGON ((-0.0681620439033927 51.501654031167476, -0.0748673725236587 51.500463476846086, -0.0760947372426226 51.495990058171785, -0.0706175534137373 51.492707461462736, -0.0639132916928855 51.49389805759787, -0.0626851470131253 51.49837120861323, -0.0681620439033927 51.501654031167476))",0,False,False,False
88194ad31dfffff,32,32,8,0,51.50284412,-0.061456823,531.415,"POLYGON ((-0.0602283196509644 51.507316797382956, -0.0669340202214461 51.50612695938754, -0.0681620439033927 51.501654031167476, -0.0626851470131253 51.49837120861323, -0.0559805135987334 51.49956108851232, -0.0547517100301574 51.50403374904696, -0.0602283196509644 51.507316797382956))",0,False,False,False
88194ad341fffff,33,33,8,0,51.53177075,-0.066270799,531.415,"POLYGON ((-0.0650419991153047 51.53624226351312, -0.0717512752521504 51.53505326727331, -0.0729795947027676 51.53058149905776, -0.0674994189444663 51.52729899455204, -0.0607912110179501 51.528488032494096, -0.0595621107512461 51.53295953322452, -0.0650419991153047 51.53624226351312))",0,False,False,False
88194ad36dfffff,34,34,8,0,51.53804668,-0.102846896,531.415,"POLYGON ((-0.1016204406575158 51.54251899343557, -0.1083318025398466 51.54132797112306, -0.1095577770878223 51.536855401065246, -0.1040731719084791 51.53357412048326, -0.0973628782614289 51.53476518393656, -0.096136121670239 51.539237486815885, -0.1016204406575158 51.54251899343557))",0,False,False,False
88195da49bfffff,35,35,8,0,51.50762801,-0.130326179,531.415,"POLYGON ((-0.129102239577905 51.512102512397384, -0.1358110372412646 51.51090858228601, -0.137034496032085 51.506433826850625, -0.1315499392731926 51.50315326865882, -0.1248422085487067 51.50434723964876, -0.1236179677558104 51.50882172793671, -0.129102239577905 51.512102512397384))",0,False,False,False
88194ad33bfffff,36,36,8,0,51.4915164,-0.077321923,531.415,"POLYGON ((-0.0760947372426226 51.495990058171785, -0.0827996936956561 51.49479878755601, -0.0840263995655383 51.490324878522436, -0.0785489291287639 51.487042507722066, -0.071845039318414 51.48823382006167, -0.0706175534137373 51.492707461462736, -0.0760947372426226 51.495990058171785))",0,False,False,False
88194ad357fffff,37,37,8,0,51.50850617,-0.053522727,531.415,"POLYGON ((-0.0522935645886553 51.512978356691825, -0.0589996368922343 51.511789235053804, -0.0602283196509644 51.507316797382956, -0.0547517100301574 51.50403374904696, -0.0480467051393039 51.505222912678555, -0.0468172425682391 51.50969508263754, -0.0522935645886553 51.512978356691825))",0,False,False,False
88194ad14dfffff,38,38,8,0,51.49987251,-0.12606627,531.415,"POLYGON ((-0.1248422085487067 51.50434723964876, -0.1315499392731926 51.50315326865882, -0.1327735209226602 51.4986782901182, -0.1272901536264001 51.4953975497755, -0.1205834895759697 51.4965915617412, -0.1193591262592725 51.50106627305865, -0.1248422085487067 51.50434723964876))",0,False,False,False
88195da499fffff,39,39,8,0,51.5153831,-0.1345874,531.415,"POLYGON ((-0.1333635832229108 51.51985737960141, -0.1400734480900305 51.51866349027133, -0.1412967838748579 51.514188958085406, -0.1358110372412646 51.51090858228601, -0.129102239577905 51.512102512397384, -0.1278781214559564 51.51657677751168, -0.1333635832229108 51.51985737960141))",0,False,False,False
