local_tile,local_tiles,density,local_density
89194ad01dbffff,"{'89194ad00a3ffff', '89194ad0037ffff', '89194ad0023ffff', '89194ad01cbffff', '89194ad01c7ffff', '89194ad056fffff', '89194ad00b7ffff', '89194ad0027ffff', '89194ad00abffff', '89194ad0033ffff', '89194ad0153ffff', '89194ad01c3ffff', '89194ad056bffff', '89194ad00afffff', '89194ad01cfffff', '89194ad01d7ffff', '89194ad01dbffff', '89194ad00a7ffff', '89194ad01d3ffff'}",2.0,27.0
89194ad0207ffff,"{'89194ad0213ffff', '89194ad0203ffff', '89194ad0237ffff', '89194ad0223ffff', '89194ad020bffff', '89194ad0217ffff', '89194ad0207ffff', '89194ad02a3ffff', '89194ad020fffff', '89194ad0273ffff', '89194ad02afffff', '89194ad0277ffff', '89194ad023bffff', '89194ad022bffff', '89194ad02abffff', '89194ad02bbffff', '89194ad0233ffff', '89194ad028fffff', '89194ad021bffff'}",4.0,43.0
89194ad0213ffff,"{'89194ad0213ffff', '89194ad028bffff', '89194ad0203ffff', '89194ad029bffff', '89194ad02c7ffff', '89194ad02c3ffff', '89194ad020bffff', '89194ad0217ffff', '89194ad0207ffff', '89194ad0283ffff', '89194ad0257ffff', '89194ad020fffff', '89194ad02cfffff', '89194ad0287ffff', '89194ad02d7ffff', '89194ad02abffff', '89194ad02bbffff', '89194ad028fffff', '89194ad021bffff'}",2.0,48.0
89194ad0217ffff,"{'89194ad0213ffff', '89194ad028bffff', '89194ad0203ffff', '89194ad02c7ffff', '89194ad020bffff', '89194ad0217ffff', '89194ad0207ffff', '89194ad0283ffff', '89194ad02a3ffff', '89194ad020fffff', '89194ad02afffff', '89194ad0287ffff', '89194ad023bffff', '89194ad02b3ffff', '89194ad02abffff', '89194ad02bbffff', '89194ad0233ffff', '89194ad028fffff', '89194ad021bffff'}",12.0,48.0
89194ad0223ffff,"{'89194ad1c93ffff', '89194ad0237ffff', '89194ad0223ffff', '89194ad0207ffff', '89194ad0227ffff', '89194ad035bffff', '89194ad03dbffff', '89194ad0353ffff', '89194ad020fffff', '89194ad0267ffff', '89194ad0277ffff', '89194ad02afffff', '89194ad1c97ffff', '89194ad03cbffff', '89194ad023bffff', '89194ad022bffff', '89194ad022fffff', '89194ad02abffff', '89194ad0233ffff'}",3.0,18.0
89194ad0237ffff,"{'89194ad0237ffff', '89194ad0223ffff', '89194ad02a7ffff', '89194ad0207ffff', '89194ad0227ffff', '89194ad02a3ffff', '89194ad03dbffff', '89194ad0353ffff', '89194ad03d3ffff', '89194ad035bffff', '89194ad02afffff', '89194ad03c3ffff', '89194ad03cfffff', '89194ad03cbffff', '89194ad023bffff', '89194ad022bffff', '89194ad022fffff', '89194ad02abffff', '89194ad0233ffff'}",1.0,15.0
89194ad024fffff,"{'89194ad025bffff', '89194ad024fffff', '89194ad020bffff', '89194ad11a3ffff', '89194ad024bffff', '89194ad0263ffff', '89194ad0257ffff', '89194ad1187ffff', '89194ad0273ffff', '89194ad027bffff', '89194ad11bbffff', '89194ad026bffff', '89194ad0243ffff', '89194ad0253ffff', '89194ad0247ffff', '89194ad11b7ffff', '89194ad1197ffff', '89194ad11b3ffff', '89194ad11a7ffff'}",1.0,17.0
89194ad0267ffff,"{'89194ad1c93ffff', '89194ad1c9bffff', '89194ad1c8bffff', '89194ad026fffff', '89194ad0223ffff', '89194ad0263ffff', '89194ad020fffff', '89194ad0267ffff', '89194ad0277ffff', '89194ad0273ffff', '89194ad1c97ffff', '89194ad027bffff', '89194ad1c83ffff', '89194ad1cd3ffff', '89194ad023bffff', '89194ad022bffff', '89194ad026bffff', '89194ad022fffff', '89194ad1cd7ffff'}",2.0,7.0
89194ad0277ffff,"{'89194ad1c93ffff', '89194ad1c9bffff', '89194ad026fffff', '89194ad0203ffff', '89194ad0223ffff', '89194ad020bffff', '89194ad0207ffff', '89194ad0263ffff', '89194ad020fffff', '89194ad0267ffff', '89194ad0273ffff', '89194ad0277ffff', '89194ad027bffff', '89194ad023bffff', '89194ad022bffff', '89194ad026bffff', '89194ad0247ffff', '89194ad022fffff', '89194ad0233ffff'}",1.0,10.0
89194ad0283ffff,"{'89194ad0213ffff', '89194ad0297ffff', '89194ad028bffff', '89194ad062fffff', '89194ad029bffff', '89194ad02c7ffff', '89194ad004bffff', '89194ad0667ffff', '89194ad066fffff', '89194ad0283ffff', '89194ad0293ffff', '89194ad005bffff', '89194ad0287ffff', '89194ad028fffff', '89194ad02d7ffff', '89194ad02b3ffff', '89194ad02bbffff', '89194ad062bffff', '89194ad0217ffff'}",3.0,83.0
89194ad028bffff,"{'89194ad0213ffff', '89194ad02d3ffff', '89194ad0297ffff', '89194ad028bffff', '89194ad0203ffff', '89194ad029bffff', '89194ad02c7ffff', '89194ad02c3ffff', '89194ad0667ffff', '89194ad066fffff', '89194ad0283ffff', '89194ad0293ffff', '89194ad02cfffff', '89194ad0287ffff', '89194ad028fffff', '89194ad02d7ffff', '89194ad02bbffff', '89194ad0217ffff', '89194ad021bffff'}",5.0,53.0
89194ad028fffff,"{'89194ad0213ffff', '89194ad0297ffff', '89194ad028bffff', '89194ad0203ffff', '89194ad029bffff', '89194ad02c7ffff', '89194ad004bffff', '89194ad0207ffff', '89194ad0283ffff', '89194ad02a3ffff', '89194ad0293ffff', '89194ad0287ffff', '89194ad028fffff', '89194ad02d7ffff', '89194ad02b3ffff', '89194ad02abffff', '89194ad02bbffff', '89194ad0217ffff', '89194ad021bffff'}",15.0,48.0
89194ad02abffff,"{'89194ad0213ffff', '89194ad0203ffff', '89194ad0237ffff', '89194ad0223ffff', '89194ad02b7ffff', '89194ad02a7ffff', '89194ad0217ffff', '89194ad0207ffff', '89194ad02a3ffff', '89194ad03dbffff', '89194ad020fffff', '89194ad02afffff', '89194ad0287ffff', '89194ad023bffff', '89194ad02b3ffff', '89194ad02abffff', '89194ad02bbffff', '89194ad0233ffff', '89194ad028fffff'}",1.0,42.0
89194ad02bbffff,"{'89194ad0213ffff', '89194ad0297ffff', '89194ad028bffff', '89194ad0203ffff', '89194ad004bffff', '89194ad02b7ffff', '89194ad02a7ffff', '89194ad0217ffff', '89194ad0207ffff', '89194ad0283ffff', '89194ad02a3ffff', '89194ad004fffff', '89194ad02afffff', '89194ad0287ffff', '89194ad02b3ffff', '89194ad02abffff', '89194ad02bbffff', '89194ad0233ffff', '89194ad028fffff'}",4.0,46.0
89194ad02c7ffff,"{'89194ad02cbffff', '89194ad0213ffff', '89194ad02d3ffff', '89194ad028bffff', '89194ad0203ffff', '89194ad02dbffff', '89194ad029bffff', '89194ad02c7ffff', '89194ad02c3ffff', '89194ad020bffff', '89194ad0217ffff', '89194ad066fffff', '89194ad0283ffff', '89194ad0257ffff', '89194ad02cfffff', '89194ad02d7ffff', '89194ad0253ffff', '89194ad028fffff', '89194ad021bffff'}",2.0,39.0
89194ad0307ffff,"{'89194ad030bffff', '89194ad0313ffff', '89194ad0337ffff', '89194ad0377ffff', '89194ad03abffff', '89194ad038fffff', '89194ad03a3ffff', '89194ad0373ffff', '89194ad0307ffff', '89194ad033bffff', '89194ad031bffff', '89194ad0317ffff', '89194ad0323ffff', '89194ad0333ffff', '89194ad0303ffff', '89194ad03bbffff', '89194ad03afffff', '89194ad032bffff', '89194ad030fffff'}",8.0,37.0
