cuisineType,venueType,n_type,p_local,p_credible,p_global,competition_factor,local_tile,neighbour_count,representations
Middle Eastern,Takeaway,3,0.015384615384615385,0.003894685500483933,0.001044841097083152,1.0,89195da4d73ffff,195,3
Pizza,Dine-In,8,0.041025641025641026,0.017105951969861147,0.04736612973443622,0.3611431220107634,89195da4d73ffff,195,8
Sandwich & Deli,Dine-In,14,0.07179487179487179,0.03698193920071735,0.04292555507183283,0.8615366566333443,89195da4d73ffff,195,14
Seafood,Dine-In,2,0.010256410256410256,0.0020048647121421012,0.018197649107531563,1.0,89195da4d73ffff,195,2
South Asian,Dine-In,18,0.09230769230769231,0.05152673529871578,0.05711797997387897,0.9021106019904737,89195da4d73ffff,195,18
South Asian,Takeaway,1,0.005128205128205128,0.0006023028243160971,0.007575097953852851,1.0,89195da4d73ffff,195,1
Southeast Asian,Dine-In,9,0.046153846153846156,0.02020105535322652,0.047888550282977796,0.42183476496692107,89195da4d73ffff,195,9
Southeast Asian,Takeaway,1,0.005128205128205128,0.0006023028243160971,0.00130605137135394,1.0,89195da4d73ffff,195,1
Southern European,Dine-In,2,0.010256410256410256,0.0020048647121421012,0.011841532433609055,1.0,89195da4d73ffff,195,2
Steakhouse & BBQ,Dine-In,4,0.020512820512820513,0.006122669463607545,0.0282107096212451,0.21703351478250818,89195da4d73ffff,195,4
Vegetarian & Vegan,Dine-In,5,0.02564102564102564,0.008603830569049706,0.02734000870700914,0.3146974333934264,89195da4d73ffff,195,5
African,Dine-In,1,0.003246753246753247,0.00038126148761214563,0.017065737919024816,1.0,89195da4d77ffff,308,1
American,Dine-In,3,0.00974025974025974,0.0024636819302389277,0.012973443622115803,1.0,89195da4d77ffff,308,3
Asian,Dine-In,7,0.022727272727272728,0.00892360969551685,0.019068350021767523,0.46798017056169416,89195da4d77ffff,308,7
Bar & Pub,Dine-In,10,0.032467532467532464,0.014764442781191675,0.030648672181105792,0.48173189017609763,89195da4d77ffff,308,10
Bistro,Dine-In,1,0.003246753246753247,0.00038126148761214563,0.005572485851110144,1.0,89195da4d77ffff,308,1
British,Dine-In,6,0.01948051948051948,0.00713036338258685,0.011754462342185459,0.606609062585259,89195da4d77ffff,308,6
Brunch & Breakfast,Dine-In,12,0.03896103896103896,0.018948450481697954,0.02585981715280801,0.7327372181222256,89195da4d77ffff,308,12
Burgers,Dine-In,5,0.016233766233766232,0.005438593430952977,0.03125816282107096,0.1739895419345263,89195da4d77ffff,308,5
Cafe & Coffee,Dine-In,1,0.003246753246753247,0.00038126148761214563,0.012363952982150631,1.0,89195da4d77ffff,308,1
Chinese,Dine-In,21,0.06818181818181818,0.0395679976752801,0.049455811928602524,0.8000676994728733,89195da4d77ffff,308,21
Chinese,Takeaway,1,0.003246753246753247,0.00038126148761214563,0.015063125816282106,1.0,89195da4d77ffff,308,1
Eastern European,Dine-In,1,0.003246753246753247,0.00038126148761214563,0.002437962559860688,1.0,89195da4d77ffff,308,1
European,Dine-In,5,0.016233766233766232,0.005438593430952977,0.005311275576839356,1.0239712385982778,89195da4d77ffff,308,5
Family Restaurant,Dine-In,2,0.006493506493506494,0.0012686839005952672,0.0032215933826730517,1.0,89195da4d77ffff,308,2
Fast Food,Dine-In,16,0.05194805194805195,0.027812175660269486,0.07009142359599478,0.39679855584868945,89195da4d77ffff,308,16
Fast Food,Takeaway,1,0.003246753246753247,0.00038126148761214563,0.01610796691336526,1.0,89195da4d77ffff,308,1
Fine Dining,Dine-In,3,0.00974025974025974,0.0024636819302389277,0.007662168045276448,1.0,89195da4d77ffff,308,3
French,Dine-In,6,0.01948051948051948,0.00713036338258685,0.013931214627775359,0.5118263965563123,89195da4d77ffff,308,6
Halal,Dine-In,1,0.003246753246753247,0.00038126148761214563,0.0043535045711798,1.0,89195da4d77ffff,308,1
Italian,Dine-In,18,0.05844155844155844,0.032437820718905844,0.06060078363082281,0.5352706479261977,89195da4d77ffff,308,18
Japanese,Dine-In,29,0.09415584415584416,0.05944781854152857,0.055811928602525034,1.0651453914968108,89195da4d77ffff,308,29
Japanese,Takeaway,3,0.00974025974025974,0.0024636819302389277,0.008619939050936004,1.0,89195da4d77ffff,308,3
Kebab Shop,Dine-In,1,0.003246753246753247,0.00038126148761214563,0.01828471919895516,1.0,89195da4d77ffff,308,1
Korean,Dine-In,5,0.016233766233766232,0.005438593430952977,0.015150195907705702,0.35897842272698244,89195da4d77ffff,308,5
Latin American,Dine-In,11,0.03571428571428571,0.01683206546365315,0.05729212015672616,0.2937937262158913,89195da4d77ffff,308,11
Mediterranean,Dine-In,16,0.05194805194805195,0.027812175660269486,0.026121027427078797,1.0647427915273169,89195da4d77ffff,308,16
Middle Eastern,Dine-In,18,0.05844155844155844,0.032437820718905844,0.06408358728776666,0.5061798518432522,89195da4d77ffff,308,18
Middle Eastern,Takeaway,3,0.00974025974025974,0.0024636819302389277,0.001044841097083152,1.0,89195da4d77ffff,308,3
Pizza,Dine-In,13,0.04220779220779221,0.02110854637180871,0.04736612973443622,0.4456464247798218,89195da4d77ffff,308,13
Sandwich & Deli,Dine-In,21,0.06818181818181818,0.0395679976752801,0.04292555507183283,0.9217818525366976,89195da4d77ffff,308,21
Seafood,Dine-In,2,0.006493506493506494,0.0012686839005952672,0.018197649107531563,1.0,89195da4d77ffff,308,2
South Asian,Dine-In,21,0.06818181818181818,0.0395679976752801,0.05711797997387897,0.6927415446655366,89195da4d77ffff,308,21
South Asian,Takeaway,1,0.003246753246753247,0.00038126148761214563,0.007575097953852851,1.0,89195da4d77ffff,308,1
Southeast Asian,Dine-In,17,0.05519480519480519,0.030110971710866886,0.047888550282977796,0.6287718365441931,89195da4d77ffff,308,17
Southeast Asian,Takeaway,1,0.003246753246753247,0.00038126148761214563,0.00130605137135394,1.0,89195da4d77ffff,308,1
Southern European,Dine-In,5,0.016233766233766232,0.005438593430952977,0.011841532433609055,0.4592812173124628,89195da4d77ffff,308,5
Steakhouse & BBQ,Dine-In,7,0.022727272727272728,0.00892360969551685,0.0282107096212451,0.31631993010188586,89195da4d77ffff,308,7
Vegetarian & Vegan,Dine-In,13,0.04220779220779221,0.02110854637180871,0.02734000870700914,0.7720753346503919,89195da4d77ffff,308,13
African,Dine-In,1,0.006211180124223602,0.0007295705865914488,0.017065737919024816,1.0,89195da4d7bffff,161,1
American,Dine-In,1,0.006211180124223602,0.0007295705865914488,0.012973443622115803,1.0,89195da4d7bffff,161,1
Asian,Dine-In,4,0.024844720496894408,0.007420892861742175,0.019068350021767523,0.38917330829730085,89195da4d7bffff,161,4
Bar & Pub,Dine-In,5,0.031055900621118012,0.010430350149322004,0.030648672181105792,0.34031980529819095,89195da4d7bffff,161,5
British,Dine-In,1,0.006211180124223602,0.0007295705865914488,0.011754462342185459,1.0,89195da4d7bffff,161,1
Brunch & Breakfast,Dine-In,6,0.037267080745341616,0.013682621589151584,0.02585981715280801,0.5291074375468213,89195da4d7bffff,161,6
Burgers,Dine-In,2,0.012422360248447204,0.002428946906236191,0.03125816282107096,1.0,89195da4d7bffff,161,2
Cafe & Coffee,Dine-In,1,0.006211180124223602,0.0007295705865914488,0.012363952982150631,1.0,89195da4d7bffff,161,1
Chinese,Dine-In,14,0.08695652173913043,0.044910232837418976,0.049455811928602524,0.908088070665065,89195da4d7bffff,161,14
Eastern European,Dine-In,1,0.006211180124223602,0.0007295705865914488,0.002437962559860688,1.0,89195da4d7bffff,161,1
European,Dine-In,3,0.018633540372670808,0.0047194947490751035,0.005311275576839356,1.0,89195da4d7bffff,161,3
Family Restaurant,Dine-In,1,0.006211180124223602,0.0007295705865914488,0.0032215933826730517,1.0,89195da4d7bffff,161,1
Fast Food,Dine-In,9,0.055900621118012424,0.024509284530338956,0.07009142359599478,0.349675941404898,89195da4d7bffff,161,9
Fast Food,Takeaway,1,0.006211180124223602,0.0007295705865914488,0.01610796691336526,1.0,89195da4d7bffff,161,1
Fine Dining,Dine-In,2,0.012422360248447204,0.002428946906236191,0.007662168045276448,1.0,89195da4d7bffff,161,2
French,Dine-In,2,0.012422360248447204,0.002428946906236191,0.013931214627775359,1.0,89195da4d7bffff,161,2
Halal,Dine-In,1,0.006211180124223602,0.0007295705865914488,0.0043535045711798,1.0,89195da4d7bffff,161,1
Italian,Dine-In,10,0.062111801242236024,0.028392421153803932,0.06060078363082281,0.46851574274631924,89195da4d7bffff,161,10
Japanese,Dine-In,18,0.11180124223602485,0.06261603856740548,0.055811928602525034,1.121911393052499,89195da4d7bffff,161,18
Japanese,Takeaway,1,0.006211180124223602,0.0007295705865914488,0.008619939050936004,1.0,89195da4d7bffff,161,1
Kebab Shop,Dine-In,1,0.006211180124223602,0.0007295705865914488,0.01828471919895516,1.0,89195da4d7bffff,161,1
Korean,Dine-In,1,0.006211180124223602,0.0007295705865914488,0.015150195907705702,1.0,89195da4d7bffff,161,1
Latin American,Dine-In,7,0.043478260869565216,0.017133190002639558,0.05729212015672616,0.29904967656582876,89195da4d7bffff,161,7
Mediterranean,Dine-In,6,0.037267080745341616,0.013682621589151584,0.026121027427078797,0.5238163631713532,89195da4d7bffff,161,6
Middle Eastern,Dine-In,13,0.08074534161490683,0.04065264512376187,0.06408358728776666,0.6343690614760938,89195da4d7bffff,161,13
Middle Eastern,Takeaway,1,0.006211180124223602,0.0007295705865914488,0.001044841097083152,1.0,89195da4d7bffff,161,1
Pizza,Dine-In,6,0.037267080745341616,0.013682621589151584,0.04736612973443622,0.28886931792537857,89195da4d7bffff,161,6
Sandwich & Deli,Dine-In,11,0.06832298136645963,0.032384865971004324,0.04292555507183283,0.7544425672961149,89195da4d7bffff,161,11
Seafood,Dine-In,2,0.012422360248447204,0.002428946906236191,0.018197649107531563,1.0,89195da4d7bffff,161,2
South Asian,Dine-In,14,0.08695652173913043,0.044910232837418976,0.05711797997387897,0.7862713782587759,89195da4d7bffff,161,14
South Asian,Takeaway,1,0.006211180124223602,0.0007295705865914488,0.007575097953852851,1.0,89195da4d7bffff,161,1
Southeast Asian,Dine-In,7,0.043478260869565216,0.017133190002639558,0.047888550282977796,0.35777215850966426,89195da4d7bffff,161,7
Southern European,Dine-In,2,0.012422360248447204,0.002428946906236191,0.011841532433609055,1.0,89195da4d7bffff,161,2
Steakhouse & BBQ,Dine-In,1,0.006211180124223602,0.0007295705865914488,0.0282107096212451,1.0,89195da4d7bffff,161,1
Vegetarian & Vegan,Dine-In,4,0.024844720496894408,0.007420892861742175,0.02734000870700914,0.2714297914557608,89195da4d7bffff,161,4
African,Dine-In,4,0.026143790849673203,0.007810569304557568,0.017065737919024816,0.4576754513410391,89195da4d83ffff,153,4
